State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total   Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
RAJASTHAN,RAJSAMAND,KUMBHALGARH,BLOCK,53656,1910.64,1719.57,1680.02,97.7000064,Critical
RAJASTHAN,RAJSAMAND,RAILMAGRA,BLOCK,60018,1900.18,1710.16,2432.42,142.2334752,Over-Exploited
RAJASTHAN,RAJSAMAND,RAJSAMAND,BLOCK,53438,1989.36,1790.41,2503.81,139.845622,Over-Exploited
RAJASTHAN,SAWAI MADHOPUR,BAMANWAS,BLOCK,65655,8479.01,7631.1,12529.26,164.1868145,Over-Exploited
RAJASTHAN,SAWAI MADHOPUR,BONLI,BLOCK,98338,7260.73,6534.67,9786.52,149.7630332,Over-Exploited
RAJASTHAN,SAWAI MADHOPUR,CHAUTH KA BARWARA,BLOCK,40666,3385.74,3047.16,3979.51,130.5973431,Over-Exploited
RAJASTHAN,SAWAI MADHOPUR,GANGAPUR,BLOCK,49892,6953.08,6257.77,12262.19,195.9514332,Over-Exploited
RAJASTHAN,SAWAI MADHOPUR,KHANDAR,BLOCK,105075,9534.95,8581.46,12093.86,140.9300981,Over-Exploited
RAJASTHAN,SAWAI MADHOPUR,SAWAI MADHOPUR,BLOCK,73224,8614.54,7753.08,13544.09,174.6930252,Over-Exploited
RAJASTHAN,SIKAR,DANTA RAMGARH,BLOCK,114045,5636.71,5073.04,11758.7,231.7880403,Over-Exploited
RAJASTHAN,SIKAR,DHOND,BLOCK,90400,5041.28,4537.15,10723.22,236.342638,Over-Exploited
RAJASTHAN,SIKAR,FATEHPUR,BLOCK,129123,5590.48,5031.44,4131.25,82.10870049,Semi-Critical
RAJASTHAN,SIKAR,KHANDELA,BLOCK,69399,3177.76,2859.98,4984.17,174.272897,Over-Exploited
RAJASTHAN,SIKAR,LACHHMANGARH,BLOCK,105162,4684.23,4215.81,9010.79,213.738048,Over-Exploited
RAJASTHAN,SIKAR,NEEM KA THANA,BLOCK,58562,2914.15,2622.74,5964.01,227.3961582,Over-Exploited
RAJASTHAN,SIKAR,PATAN,BLOCK,28956,1118.29,1006.46,1712.92,170.1925561,Over-Exploited
RAJASTHAN,SIKAR,PIPRALI,BLOCK,74383,4298.63,3868.77,6858.78,177.285804,Over-Exploited
RAJASTHAN,SIKAR,SRIMADHOPUR,BLOCK,65662,4437.92,3994.13,8655.05,216.6942488,Over-Exploited
RAJASTHAN,SIROHI,ABU ROAD,BLOCK,33106,2948.65,2653.79,3024.07,113.9528749,Over-Exploited
RAJASTHAN,SIROHI,PINDWARA,BLOCK,88290,6400.88,5760.79,5043.16,87.54285437,Semi-Critical
RAJASTHAN,SIROHI,REODAR,BLOCK,98580,7616.16,6854.55,11179.79,163.1002765,Over-Exploited
RAJASTHAN,SIROHI,SHEOGANJ,BLOCK,77289,5603.9,5043.51,5779.88,114.6003478,Over-Exploited
RAJASTHAN,SIROHI,SIROHI,BLOCK,110305,7207.76,6486.99,6314.87,97.3466893,Critical
RAJASTHAN,TONK,DEOLI,BLOCK,124209,7867.79,7081.01,5990.16,84.59471177,Semi-Critical
RAJASTHAN,TONK,MALPURA,BLOCK,79278,5869.29,5286.96,7640.09,144.5081862,Over-Exploited
RAJASTHAN,TONK,NIWAI,BLOCK,59453,4046.43,3642.61,4504.01,123.6478789,Over-Exploited
RAJASTHAN,TONK,TODARAISINGH,BLOCK,91114,5607.16,5266.4,3601.86,68.39320978,safe
RAJASTHAN,TONK,TONK,BLOCK,137890,11504.74,10354.26,10053.3,97.09337026,Critical
RAJASTHAN,TONK,UNIARA,BLOCK,96230,9333.66,8400.29,9034.93,107.5549773,Over-Exploited
RAJASTHAN,UDAIPUR,BARGAON,BLOCK,26284,1148.74,1033.86,1444.54,139.7229799,Over-Exploited
RAJASTHAN,UDAIPUR,BHINDAR,BLOCK,90615,3500.32,3150.28,3018.93,95.83052935,Critical
RAJASTHAN,UDAIPUR,GIRWA_RURAL,BLOCK,58200,2551.63,2296.47,2220.02,96.67097763,Critical
RAJASTHAN,UDAIPUR,GOGUNDA,BLOCK,34022,1539.74,1385.77,1353.91,97.70091718,Critical
RAJASTHAN,UDAIPUR,JHADOL,BLOCK,37443,1209.75,1088.78,1030.21,94.62058451,Critical
RAJASTHAN,UDAIPUR,JHALARA,BLOCK,38944,2071.33,1864.19,1622.74,87.04799403,Semi-Critical
RAJASTHAN,UDAIPUR,KHERWARA,BLOCK,48568,1246.46,1121.81,1136.13,101.2765085,Over-Exploited
RAJASTHAN,UDAIPUR,KOTRA,BLOCK,62780,2475.53,2227.97,2306.95,103.544931,Over-Exploited
RAJASTHAN,UDAIPUR,KURAWAR,BLOCK,36180,1710.1,1539.08,1500.84,97.51539881,Critical
RAJASTHAN,UDAIPUR,LASADIYA,BLOCK,34814,1166.9,1050.21,1234.23,117.5222098,Over-Exploited
RAJASTHAN,UDAIPUR,MAVLI,BLOCK,78357,3333.64,3000.27,3944.49,131.4711676,Over-Exploited
RAJASTHAN,UDAIPUR,PHALASIYA,BLOCK,38200,1095.45,985.91,979.45,99.34476778,Critical
RAJASTHAN,UDAIPUR,RISHABHDEV,BLOCK,30662,1394.17,1254.75,1331.96,106.153417,Over-Exploited
RAJASTHAN,UDAIPUR,SALUMBAR,BLOCK,35519,2356.96,2121.26,1930.28,90.99686036,Critical
RAJASTHAN,UDAIPUR,SARADA,BLOCK,55684,2412.59,2171.33,1998.63,92.04634947,Critical
RAJASTHAN,UDAIPUR,SAYRA,BLOCK,37241,1366.89,1230.2,1225.02,99.57893026,Critical
RAJASTHAN,UDAIPUR,SEMARI,BLOCK,27179,986.87,888.18,832.97,93.78391767,Critical
RAJASTHAN,UDAIPUR,UDAIPUR_URBAN,BLOCK,6400,686.93,618.24,617.37,99.85927795,Critical
SIKKIM,SIKKIM,GANGTOK,DISTRICT,35500,6986.5,6287.85,393.81,6.263031084,safe
SIKKIM,SIKKIM,GYALSHING,DISTRICT,30200,3777.88,3400.09,225.3,6.626295186,safe
SIKKIM,SIKKIM,MANGAN,DISTRICT,20000,3875.28,3487.75,95.56,2.739875278,safe
SIKKIM,SIKKIM,NAMCHI,DISTRICT,28000,3340.79,3006.71,216.56,7.202556948,safe
SIKKIM,SIKKIM,PAKYONG,DISTRICT,26100,5093.82,4584.44,200.78,4.379597072,safe
SIKKIM,SIKKIM,SORENG,DISTRICT,9800,1223.48,1101.13,79.26,7.198060175,safe
TAMILNADU,ARIYALUR,ANDIMADAM,TALUK,28746.02,3904.4,3599.53,2937.8,81.61621101,Semi-Critical
TAMILNADU,ARIYALUR,ARIYALUR,TALUK,67421.86,16477.12,14919.38,6609.79,44.30338258,safe
TAMILNADU,ARIYALUR,SENDURAI,TALUK,31482.4,5560.99,5004.88,2662.66,53.20127556,safe
TAMILNADU,ARIYALUR,UDAYARPALAYAM,TALUK,65008.37,13160.61,11997.47,6267.71,52.24193101,safe
TAMILNADU,CHENGALPATTU,CHENGALPATTU,TALUK,19790.935,3084.26,2775.82,2358.83,84.97777233,Semi-Critical
TAMILNADU,CHENGALPATTU,CHEYYUR,TALUK,58869.11,13624.94,12262.45,8043.04,65.59080771,safe
TAMILNADU,CHENGALPATTU,MADHURANTAKAM,TALUK,74996.935,19456.99,17763.61,12850.37,72.34098249,Semi-Critical
TAMILNADU,CHENGALPATTU,PALLAVARAM,TALUK,3459.5,405.35,375.32,95.23,25.37301503,safe
TAMILNADU,CHENGALPATTU,TAMBARAM,TALUK,8433.52,1279.74,1164.64,416.25,35.74065806,safe
TAMILNADU,CHENGALPATTU,THIRUKKALUKUNDRAM,TALUK,34104.42,12008.89,10808.01,9524.22,88.12186517,Semi-Critical
TAMILNADU,CHENGALPATTU,THIRUPPORUR,TALUK,29479,6382.04,5743.84,3387.11,58.96943508,safe
TAMILNADU,CHENGALPATTU,VANDALUR,TALUK,13281.46,2417.01,2175.31,1399.61,64.34071466,safe
TAMILNADU,CHENNAI,ALANDUR,TALUK,1770.97,943,848.69,681,80.24131308,Semi-Critical
TAMILNADU,CHENNAI,AMBATTUR,TALUK,5704.735,1733.6,1560.24,2932.68,187.9633902,Over-Exploited
TAMILNADU,CHENNAI,AMINJIKARAI,TALUK,1555.3286,377,344.93,436.76,126.622793,Over-Exploited
TAMILNADU,CHENNAI,AYANAVARAM,TALUK,1528.5383,374.12,336.72,429.61,127.5867189,Over-Exploited
TAMILNADU,CHENNAI,EGMORE,TALUK,1766.8957,308.46,281.59,429.93,152.6794275,Over-Exploited
TAMILNADU,CHENNAI,GUINDY,TALUK,2137.6077,297.49,267.73,367.68,137.3323871,Over-Exploited
TAMILNADU,CHENNAI,MADHAVARAM,TALUK,3612.645,1077.62,1014.47,671.59,66.20107051,safe
TAMILNADU,CHENNAI,MADURAVOYAL,TALUK,3268.445,1101.79,991.61,1338.28,134.9603171,Over-Exploited
TAMILNADU,CHENNAI,MAMBALAM,TALUK,1436.5733,82.06,73.85,114.57,155.1387949,Over-Exploited
TAMILNADU,CHENNAI,MYLAPORE,TALUK,2227.5722,347.43,312.69,486.93,155.7229205,Over-Exploited
TAMILNADU,CHENNAI,PERAMBUR,TALUK,1856.6349,377.83,340.06,462.97,136.1436217,Over-Exploited
TAMILNADU,CHENNAI,PURASAIVAKKAM,TALUK,1727.7904,327.61,299.96,476.38,158.8145086,Over-Exploited
TAMILNADU,CHENNAI,SHOLINGANALLUR,TALUK,7067.73,1072.77,997.43,620.66,62.22592062,safe
TAMILNADU,CHENNAI,THIRUVOTTIYUR,TALUK,5587.785,1341.66,1207.5,1777.7,147.2215321,Over-Exploited
TAMILNADU,CHENNAI,TONDIARPET,TALUK,1301.7624,141.73,127.55,193.83,151.9639357,Over-Exploited
TAMILNADU,CHENNAI,VELACHERI,TALUK,2077.4679,239.48,215.53,332.69,154.3590219,Over-Exploited
TAMILNADU,COIMBATORE,ANAMALAI,TALUK,41714.87,14464.08,13017.69,4865.01,37.37229877,safe
TAMILNADU,COIMBATORE,ANNUR,TALUK,38852.73,3619.89,3257.9,3611.49,110.8533104,Over-Exploited
TAMILNADU,COIMBATORE,COIMBATORE NORTH,TALUK,30058.31,2838.24,2554.43,2972.93,116.3833027,Over-Exploited
TAMILNADU,COIMBATORE,COIMBATORE SOUTH,TALUK,4651.91,504.74,454.26,717.97,158.0526571,Over-Exploited
TAMILNADU,COIMBATORE,KINATHUKADAVU,TALUK,32575.13,5304.77,4871.75,5824.95,119.5658644,Over-Exploited
TAMILNADU,COIMBATORE,MADUKARAI,TALUK,26860.57,2391.14,2167.37,1913.28,88.27657483,Semi-Critical
TAMILNADU,COIMBATORE,METTUPALAYAM,TALUK,35647.23,3645.86,3281.27,3409.07,103.8948334,Over-Exploited
TAMILNADU,COIMBATORE,PERUR,TALUK,28752.55,4004.27,3643.46,4243.85,116.4785671,Over-Exploited
TAMILNADU,COIMBATORE,POLLACHI,TALUK,49192.37,9315.02,8572.04,8321.71,97.07969165,Critical
TAMILNADU,COIMBATORE,SULUR,TALUK,58496.06,5982.34,5384.12,5340.63,99.19225426,Critical
TAMILNADU,COIMBATORE,VALPARAI,TALUK,20676,4933.23,4439.9,4757.3,107.1488097,Over-Exploited
TAMILNADU,CUDDALORE,BHUVANAGIRI,TALUK,30142.55,16585.89,14927.29,5475.09,36.67839239,safe
TAMILNADU,CUDDALORE,CHIDAMBARAM,TALUK,34687.09,19458.65,17512.78,2367.54,13.51892732,safe
TAMILNADU,CUDDALORE,CUDDALORE,TALUK,32090.75,14204.96,13080.67,12648.98,96.69978678,Critical
TAMILNADU,CUDDALORE,KATTUMANNARKOIL,TALUK,31846.94,15448.92,14099.34,5504.19,39.03863585,safe
TAMILNADU,CUDDALORE,KURINJIPADI,TALUK,33378.26,6938.02,6244.22,4291.73,68.73124265,safe
TAMILNADU,CUDDALORE,PANRUTTI,TALUK,46387.9375,9689.09,8768.93,9357.27,106.7093705,Over-Exploited
TAMILNADU,CUDDALORE,SRIMUSHNAM,TALUK,24563.33,8866.98,7980.28,4985.22,62.46923667,safe
TAMILNADU,CUDDALORE,TITAGUDI,TALUK,46099.565,8011,7209.91,8662.32,120.1446343,Over-Exploited
TAMILNADU,CUDDALORE,VEPPUR,TALUK,33902.44,3331.51,2998.37,2853.22,95.15903641,Critical
TAMILNADU,CUDDALORE,VRIDHACHALAM,TALUK,50574.29,9063.48,8290.35,8706.94,105.0249989,Over-Exploited
TAMILNADU,DHARMAPURI,DHARMAPURI,TALUK,23183.95,4464.68,4018.21,2991.49,74.448324,Semi-Critical
TAMILNADU,DHARMAPURI,HARUR,TALUK,64055.695,9759.87,8783.89,5699.75,64.88867688,safe
TAMILNADU,DHARMAPURI,KARIMANGALAM,TALUK,28860.62,7347.14,6612.42,9087.46,137.4301693,Over-Exploited
TAMILNADU,DHARMAPURI,NALLAMPALLI,TALUK,32313,5482.91,4934.61,5071.94,102.782996,Over-Exploited
TAMILNADU,DHARMAPURI,PALACODE,TALUK,34346.34125,7949.24,7154.3,8195.74,114.5568399,Over-Exploited
TAMILNADU,DHARMAPURI,PAPPIREDDIPATTI,TALUK,48627.975,7113.87,6402.5,6898.08,107.7404139,Over-Exploited
TAMILNADU,DHARMAPURI,PENNAGARAM,TALUK,49899,7006.54,6305.87,5729.65,90.86216494,Critical
TAMILNADU,DINDIGUL,ATHOOR,TALUK,26639.01,4361.55,3925.39,5502.74,140.1832684,Over-Exploited
TAMILNADU,DINDIGUL,DINDIGUL EAST,TALUK,54279.33,6688.55,6019.68,7592.95,126.1354424,Over-Exploited
TAMILNADU,DINDIGUL,DINDIGUL WEST,TALUK,55086.27,6061.56,5455.39,6917.25,126.7966177,Over-Exploited
TAMILNADU,DINDIGUL,GUJILIAMPARAI,TALUK,37012.94,4095.86,3686.26,5483.01,148.7418142,Over-Exploited
TAMILNADU,DINDIGUL,KODAIKANAL,TALUK,45359.01,4190.01,3771.01,77.77,2.062312219,safe
TAMILNADU,DINDIGUL,NATHAM,TALUK,33472.87,4068.93,3662.04,2467.85,67.39003397,safe
TAMILNADU,DINDIGUL,NILAKOTTAI,TALUK,41975.26,6589.79,5930.81,7820.19,131.8570313,Over-Exploited
TAMILNADU,DINDIGUL,ODDENCHATRAM,TALUK,73384.26,9701.36,8731.22,12255.18,140.3604536,Over-Exploited
TAMILNADU,DINDIGUL,PALANI,TALUK,69738,9873.36,8968.45,8253.67,92.03006094,Critical
TAMILNADU,DINDIGUL,VEDASANDUR,TALUK,50794.15,6000.82,5400.72,7337.43,135.8602186,Over-Exploited
TAMILNADU,ERODE,ANTHIYUR,TALUK,40575.115,5275.17,4747.65,4362.82,91.8943056,Critical
TAMILNADU,ERODE,BHAVANI,TALUK,34200.69,10823.04,9886.29,4255.35,43.04294129,safe
TAMILNADU,ERODE,ERODE,TALUK,17763.19,4195.71,3776.14,2862.71,75.81048372,Semi-Critical
TAMILNADU,ERODE,GOBICHETTIPALAYAM,TALUK,50716.745,14946.5,13451.84,7148.33,53.14016521,safe
TAMILNADU,ERODE,KODUMUDI,TALUK,22807.615,6760.47,6084.42,4875.64,80.13319265,Semi-Critical
TAMILNADU,ERODE,MODAKURICHI,TALUK,34451.755,11884.21,10695.79,8415.69,78.68226657,Semi-Critical
TAMILNADU,ERODE,NAMBIYUR,TALUK,27957.695,3633.23,3269.9,5863.42,179.3149638,Over-Exploited
TAMILNADU,ERODE,PERUNDURAI,TALUK,52474.845,8009,7208.1,8229.95,114.1764126,Over-Exploited
TAMILNADU,ERODE,SATHYAMANGALAM,TALUK,42339.73,6640.11,6054.84,6447.1,106.4784536,Over-Exploited
TAMILNADU,ERODE,THALAVADI,TALUK,21594.305,2472.98,2225.68,1581.7,71.06592143,Semi-Critical
TAMILNADU,KALLAKURICHCHI,CHINNA SELAM,TALUK,33863.865,9917.22,9055.41,8587.52,94.83303351,Critical
TAMILNADU,KALLAKURICHCHI,KALLAKURICHCHI,TALUK,53106.605,14653.5,13188.16,12758.12,96.73919637,Critical
TAMILNADU,KALLAKURICHCHI,KALVARAYAN HILLS,TALUK,13936.22,3070.19,2763.17,1718.23,62.18328948,safe
TAMILNADU,KALLAKURICHCHI,SANKARAPURAM,TALUK,62845.40625,15447.47,13902.7,8521.46,61.29356168,safe
TAMILNADU,KALLAKURICHCHI,TIRUKKOILUR,TALUK,34425.02,10274.28,9246.86,5976.52,64.6329673,safe
TAMILNADU,KALLAKURICHCHI,ULUNDURPET,TALUK,59745.88,16968.33,15271.49,12723.93,83.31819619,Semi-Critical
TAMILNADU,KANCHEEPURAM,KANCHEEPURAM,TALUK,38719.135,15501.07,14050.74,6705.56,47.72389212,safe
TAMILNADU,KANCHEEPURAM,KUNDRATHUR,TALUK,27247.44,6928.46,6235.61,1958.25,31.40430527,safe
TAMILNADU,KANCHEEPURAM,SRIPERUMBUDUR,TALUK,35734.83,11205.12,10208.62,2145.9,21.02047094,safe
TAMILNADU,KANCHEEPURAM,UTHIRAMERUR,TALUK,42192.335,15260.5,13734.43,10926.8,79.55772464,Semi-Critical
TAMILNADU,KANCHEEPURAM,WALAJABAD,TALUK,22900.3,7077.93,6502.14,3910.2,60.13712409,safe
TAMILNADU,KANNIYAKUMARI,AGASTHEESWARAM,TALUK,27897.069,8352.12,7516.92,2828.1,37.62312224,safe
TAMILNADU,KANNIYAKUMARI,KALKULAM,TALUK,23779.016,7971.88,7174.7,724.77,10.10174641,safe
TAMILNADU,KANNIYAKUMARI,KILLIYUR,TALUK,11945.861,3089.3,2780.33,437.09,15.72079573,safe
TAMILNADU,KANNIYAKUMARI,THIRUVATTAR,TALUK,14776,3999.63,3599.66,99.88,2.7747065,safe
TAMILNADU,KANNIYAKUMARI,THOVALAI,TALUK,16050.95,6849.1,6164.18,379.62,6.158483367,safe
TAMILNADU,KANNIYAKUMARI,VILAVANCODE,TALUK,18596.074,4032.63,3629.36,329.48,9.078184584,safe
TAMILNADU,KARUR,ARAVAKURICHI,TALUK,65765.105,5198.29,4734.91,4677.29,98.78308141,Critical
TAMILNADU,KARUR,KADAVUR,TALUK,41502.695,3671.65,3304.48,4560.73,138.0165714,Over-Exploited
TAMILNADU,KARUR,KARUR,TALUK,31486.09,2641.42,2436.09,2796.76,114.8052822,Over-Exploited
TAMILNADU,KARUR,KRISHNARAYAPURAM,TALUK,34878.26,4839.97,4355.98,4158.76,95.472431,Critical
TAMILNADU,KARUR,KULITHALAI,TALUK,49041.155,9230.38,8307.33,6029.87,72.58493403,Semi-Critical
TAMILNADU,KARUR,MANMANGALAM,TALUK,20393.125,3921.81,3529.63,3907.13,110.695172,Over-Exploited
TAMILNADU,KARUR,PUGALUR,TALUK,40303.09,4430.64,3987.56,4254.38,106.69131,Over-Exploited
TAMILNADU,KRISHNAGIRI,ANCHETTY,TALUK,12820.97,967.46,870.72,280.2,32.18026461,safe
TAMILNADU,KRISHNAGIRI,BARGUR,TALUK,26850.75,4952.03,4552.22,4507.53,99.01828119,Critical
TAMILNADU,KRISHNAGIRI,DENKANIKOTTAI,TALUK,77066.36,10240.49,9216.43,4419.46,47.95197273,safe
TAMILNADU,KRISHNAGIRI,HOSUR,TALUK,35694.57,4352.71,3917.43,3053.74,77.95263732,Semi-Critical
TAMILNADU,KRISHNAGIRI,KRISHNAGIRI,TALUK,52168.17,11403.02,10262.73,10477.91,102.0967131,Over-Exploited
TAMILNADU,KRISHNAGIRI,POCHAMPALLI,TALUK,29533.39,6346.21,5862.17,5535.13,94.42117851,Critical
TAMILNADU,KRISHNAGIRI,SHOOLAGIRI,TALUK,36566.855,5199.42,4679.48,2839.4,60.67768214,safe
TAMILNADU,KRISHNAGIRI,UTHANGARAI,TALUK,39625,5838.67,5254.79,7331.31,139.5167076,Over-Exploited
TAMILNADU,MADURAI,KALLIKUDI,TALUK,25682.01,4752.62,4338.98,1894.56,43.6637182,safe
TAMILNADU,MADURAI,MADURAI EAST,TALUK,22111.02,7924.12,7580.13,3030.91,39.9849343,safe
TAMILNADU,MADURAI,MADURAI NORTH,TALUK,16580.07,4980.62,4817.16,2345.17,48.68366423,safe
TAMILNADU,MADURAI,MADURAI SOUTH,TALUK,10403.76,2210.18,2343.2,1278.56,54.56469785,safe
TAMILNADU,MADURAI,MADURAI WEST,TALUK,6493.8,1408.38,1729.39,1596.2,92.29844049,Critical
TAMILNADU,MADURAI,MELUR,TALUK,71164.935,16662.9,14996.6,10176,67.85538055,safe
TAMILNADU,MADURAI,PERAIYUR,TALUK,56108.46,9622.22,8659.97,6186.29,71.43546687,Semi-Critical
TAMILNADU,MADURAI,THIRUPPARANKUNDRAM,TALUK,11537.39,2181.21,2076.94,1275.71,61.42257359,safe
TAMILNADU,MADURAI,TIRUMANGALAM,TALUK,30840.01,6279.9,5718.45,4128.95,72.20400633,Semi-Critical
TAMILNADU,MADURAI,USILAMPATTI,TALUK,39864.82,9564.86,8703.19,7625.77,87.62040126,Semi-Critical
TAMILNADU,MADURAI,VADIPATTI,TALUK,34860.46,10218.71,9271.45,6403.28,69.06449369,safe
TAMILNADU,MAYILADUTHURAI,KUTHALAM,TALUK,17134.89,6542.87,5888.59,8746.71,148.5365767,Over-Exploited
TAMILNADU,MAYILADUTHURAI,MAYILADUTHURAI,TALUK,25993.11,9648.44,8683.61,9408.78,108.3510199,Over-Exploited
TAMILNADU,MAYILADUTHURAI,SIRKAZHI,TALUK,45485.03,12061.49,10855.33,15391.07,141.7835294,Over-Exploited
TAMILNADU,MAYILADUTHURAI,THARANGAMBADI,TALUK,27643,6262.77,5636.48,9203.96,163.2926933,Over-Exploited
TAMILNADU,NAGAPATTINAM,KILVELUR,TALUK,26742.925,0,0,0,0,Saline
TAMILNADU,NAGAPATTINAM,NAGAPATTINAM,TALUK,31191.005,0,0,0,0,Saline
TAMILNADU,NAGAPATTINAM,THIRUKKUVALAI,TALUK,21104.76,0,0,0,0,Saline
TAMILNADU,NAGAPATTINAM,VEDARANYAM,TALUK,74805,0,0,0,0,Saline
TAMILNADU,NAMAKKAL,KOLLI HILLS,TALUK,20826.38,2374.92,2168.06,11.79,0.543804138,safe
TAMILNADU,NAMAKKAL,KUMARAPALAYAM,TALUK,15973.53,5168.69,4651.82,3697.98,79.49533731,Semi-Critical
TAMILNADU,NAMAKKAL,MOHANUR,TALUK,28534.795,6599.99,5939.98,6933.21,116.7211001,Over-Exploited
TAMILNADU,NAMAKKAL,NAMAKKAL,TALUK,38490.925,5998.83,5398.96,7650.52,141.7035874,Over-Exploited
TAMILNADU,NAMAKKAL,PARAMATHI VELUR,TALUK,44132.555,10684.42,9615.97,11346.83,117.9998482,Over-Exploited
TAMILNADU,NAMAKKAL,RASIPURAM,TALUK,44545.265,9617.69,8655.92,13607.27,157.2018919,Over-Exploited
TAMILNADU,NAMAKKAL,SENDAMANGALAM,TALUK,33777.995,6062.35,5456.1,7939.33,145.5129122,Over-Exploited
TAMILNADU,NAMAKKAL,TIRUCHENGODE,TALUK,66173.57,9222.6,8300.34,8632.06,103.9964628,Over-Exploited
TAMILNADU,PERAMBALUR,ALATHUR,TALUK,38639.96,4531.24,4078.13,5249.9,128.7330222,Over-Exploited
TAMILNADU,PERAMBALUR,KUNNAM,TALUK,41799.075,6582.32,5924.08,3740.17,63.13503531,safe
TAMILNADU,PERAMBALUR,PERAMBALUR,TALUK,28757.13,4559.64,4103.67,6483.6,157.9951604,Over-Exploited
TAMILNADU,PERAMBALUR,VEPPANTHATTAI,TALUK,50257.605,9675.15,8707.63,9482.92,108.9035708,Over-Exploited
TAMILNADU,PUDUKKOTTAI,ALANGUDY,TALUK,36563.81,8247.79,7469.68,5113.01,68.45018796,safe
TAMILNADU,PUDUKKOTTAI,ARANTANGI,TALUK,43937.68,13164.24,11847.82,5919.3,49.96108989,safe
TAMILNADU,PUDUKKOTTAI,AVADAIYARKOVIL,TALUK,42637.03,15696.95,14127.25,299.68,2.121290414,safe
TAMILNADU,PUDUKKOTTAI,GANDARVAKOTTAI,TALUK,32507.775,7251.56,6526.4,4011.8,61.47033587,safe
TAMILNADU,PUDUKKOTTAI,ILUPPUR,TALUK,41465.675,7689.16,6920.24,4300.56,62.1446655,safe
TAMILNADU,PUDUKKOTTAI,KARAMBAKUDI,TALUK,26797.41,8368.56,7531.71,4444.8,59.01448675,safe
TAMILNADU,PUDUKKOTTAI,KULATHUR,TALUK,57775.47,10175.68,9158.11,6052.81,66.09234875,safe
TAMILNADU,PUDUKKOTTAI,MANAMELKUDI,TALUK,24207.39,3346.58,3011.92,220.45,7.319251507,safe
TAMILNADU,PUDUKKOTTAI,PONNAMARAVATHI,TALUK,31338.77,6444.23,5882.37,4481.41,76.18374907,Semi-Critical
TAMILNADU,PUDUKKOTTAI,PUDUKKOTTAI,TALUK,26600.16,3867.37,3603.36,2615.95,72.59752009,Semi-Critical
TAMILNADU,PUDUKKOTTAI,THIRUMAYAM,TALUK,46277.14,10389.52,9350.54,3491.33,37.33827137,safe
TAMILNADU,PUDUKKOTTAI,VIRALIMALAI,TALUK,32685.79,4629.53,4224.55,3287.62,77.82177983,Semi-Critical
TAMILNADU,RAMANATHAPURAM,KADALADI,TALUK,57872.3,2093.73,1884.36,36.37,1.930098283,safe
TAMILNADU,RAMANATHAPURAM,KAMUTHI,TALUK,57847,8497.47,7647.72,712.62,9.318071268,safe
TAMILNADU,RAMANATHAPURAM,KEELAKARAI,TALUK,30935.21,4289.04,3860.13,404.25,10.47244523,safe
TAMILNADU,RAMANATHAPURAM,MUDUKULATHUR,TALUK,48082.385,8979.17,8081.23,584.08,7.227612628,safe
TAMILNADU,RAMANATHAPURAM,PARAMAKUDI,TALUK,73796,26301.09,23670.98,1058.59,4.472100437,safe
TAMILNADU,RAMANATHAPURAM,RAMANATHAPURAM,TALUK,49922.15,10671.37,9604.24,1476.03,15.36852473,safe
TAMILNADU,RAMANATHAPURAM,RAMESWARAM,TALUK,7715.99,772.93,695.64,210.73,30.29296763,safe
TAMILNADU,RAMANATHAPURAM,RSMANGALAM,TALUK,33982.135,9807.78,8827,43.32,0.490766965,safe
TAMILNADU,RAMANATHAPURAM,THIRUVADANI,TALUK,47333.865,6260.27,5634.24,44.4,0.788038848,safe
TAMILNADU,RANIPET,ARAKKONAM,TALUK,38352.185,6645.47,6105.62,4479.3,73.36355685,Semi-Critical
TAMILNADU,RANIPET,ARCOT,TALUK,25180.91,5259.16,4733.23,5489.76,115.9833771,Over-Exploited
TAMILNADU,RANIPET,KALAVAI,TALUK,21756.885,4484.33,4035.89,3244.84,80.39961446,Semi-Critical
TAMILNADU,RANIPET,NEMILI,TALUK,32808.04,6644.8,5980.32,4539.39,75.90546994,Semi-Critical
TAMILNADU,RANIPET,SHOLINGUR,TALUK,28784.485,5736.68,5163.01,4083.33,79.08816756,Semi-Critical
TAMILNADU,RANIPET,WALAJAPET,TALUK,28701.505,5598.63,5038.76,5000.86,99.24783082,Critical
TAMILNADU,SALEM,ATTUR,TALUK,24341.84,4991.27,4492.14,6977,155.3157293,Over-Exploited
TAMILNADU,SALEM,EDAPPADY,TALUK,31831.01,4779.72,4301.76,5181.13,120.4420981,Over-Exploited
TAMILNADU,SALEM,GANGAVALLI,TALUK,25556.41,4655.37,4189.83,7418.08,177.0496655,Over-Exploited
TAMILNADU,SALEM,KADAYAMPATTI,TALUK,26054.63,3357.25,3093.27,3646.4,117.8817239,Over-Exploited
TAMILNADU,SALEM,METTUR,TALUK,58924.23,8241.94,7417.75,8416.42,113.4632469,Over-Exploited
TAMILNADU,SALEM,OMALUR,TALUK,27291.31,3835.97,3452.38,3446.65,99.83402754,Critical
TAMILNADU,SALEM,PEDDANAYAKKANPALAYAM,TALUK,36241.91,5751.79,5176.61,5720.44,110.5055239,Over-Exploited
