State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total   Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
ANDHRA PRADESH,KRISHNA,THOTLAVALLURU,MANDAL,11473,7188.36,6828.94,2540.29,37.19889178,safe
ANDHRA PRADESH,KRISHNA,UNGUTURU,MANDAL,15225,14799.07,14059.1,3090,21.97864728,safe
ANDHRA PRADESH,KRISHNA,VUYYURU,MANDAL,10050,12286.02,11671.71,3995.3,34.23063116,safe
ANDHRA PRADESH,KURNOOL,ADONI,MANDAL,52111,6480.01,6155.96,1091.63,17.73289625,safe
ANDHRA PRADESH,KURNOOL,ALUR,MANDAL,35493,2457.93,2335.04,456.36,19.54399068,safe
ANDHRA PRADESH,KURNOOL,ASPARI,MANDAL,40618,2319.95,2203.95,740.96,33.61963747,safe
ANDHRA PRADESH,KURNOOL,C BELAGAL,MANDAL,21065,4394.8,4175.05,936.33,22.42679728,safe
ANDHRA PRADESH,KURNOOL,CHIPPAGIRI,MANDAL,28767,2218.64,2107.7,256.67,12.17772928,safe
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,MANDAL,45095,3013.06,2862.4,987.93,34.51404416,safe
ANDHRA PRADESH,KURNOOL,GONEGANDLA,MANDAL,27528,3383.24,3214.08,1388.49,43.20023148,safe
ANDHRA PRADESH,KURNOOL,GUDUR (KURNOOL),MANDAL,16135,1082.22,1028.13,367.75,35.76882301,safe
ANDHRA PRADESH,KURNOOL,HALAHARVI,MANDAL,28117,2680.26,2546.26,204.92,8.047881992,safe
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,MANDAL,31923,5357.55,5089.67,451.12,8.863443013,safe
ANDHRA PRADESH,KURNOOL,KALLUR,MANDAL,31611,2263.5,2150.29,715.48,33.27365146,safe
ANDHRA PRADESH,KURNOOL,KODUMUR,MANDAL,23366,2363.85,2245.67,788.76,35.1235934,safe
ANDHRA PRADESH,KURNOOL,KOSIGI,MANDAL,21783,3010.88,2860.34,1015.98,35.51955362,safe
ANDHRA PRADESH,KURNOOL,KOWTHALAM,MANDAL,37541,6535.24,6208.5,769.5,12.39429814,safe
ANDHRA PRADESH,KURNOOL,KRISHNAGIRI,MANDAL,36805,2775.11,2636.35,837.52,31.76816432,safe
ANDHRA PRADESH,KURNOOL,KURNOOL MANDAL,MANDAL,32100,2017.8,1916.87,555.64,28.98683792,safe
ANDHRA PRADESH,KURNOOL,MADDIKERA EAST,MANDAL,23133,1545.05,1467.78,293.87,20.02139285,safe
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,MANDAL,18915,2343.41,2226.25,359.49,16.14778214,safe
ANDHRA PRADESH,KURNOOL,NANDAVARAM,MANDAL,25993,4231.01,4019.46,589.35,14.66241734,safe
ANDHRA PRADESH,KURNOOL,ORVAKAL,MANDAL,33082,1580.24,1501.22,988.85,65.86975926,safe
ANDHRA PRADESH,KURNOOL,PATTIKANDA,MANDAL,27010,1707.96,1622.56,478.6,29.49659797,safe
ANDHRA PRADESH,KURNOOL,PEDDA KADUBUR,MANDAL,20262,5087.26,4832.91,887.17,18.35684919,safe
